Team,Repository,Branch (if not the default),Source
,https://git.launchpad.net/landscape-bundles,,auto
,https://github.com/canonical/landscape-server-operator,,auto
,https://github.com/canonical/lego-operator,,manual
,https://github.com/linbit/charmed-linstor,,auto
,https://github.com/canonical/livepatch-k8s-operator,,manual
,https://git.launchpad.net/logstash-charm,,auto
,https://opendev.org/openstack/charm-manila,,auto
,https://opendev.org/openstack/charm-manila-dashboard,,auto
,https://opendev.org/openstack/charm-manila-netapp,,auto
,https://opendev.org/openstack/charm-masakari,,auto
,https://opendev.org/openstack/charm-masakari-monitors,,auto
,https://github.com/juju-solutions/bundle-kubeflow,,auto
,https://github.com/charmed-kubernetes/metallb-operator,,auto
,https://git.launchpad.net/charm-mysql-router,,auto
,https://github.com/canonical/mysql-router-operators,,auto
,https://github.com/canonical/nats-operator,,auto
,https://github.com/canonical/netbox-k8s-operator,,manual
,https://opendev.org/openstack/charm-neutron-api-odl,,auto
,https://opendev.org/openstack/charm-neutron-api-plugin-arista,,auto
,https://opendev.org/openstack/charm-neutron-api-plugin-ironic,,auto
,https://opendev.org/openstack/charm-neutron-dynamic-routing,,auto
,https://opendev.org/openstack/charm-neutron-gateway,,auto
,https://git.launchpad.net/nfs-ganesha-charm,,auto
,https://opendev.org/openstack/charm-nova-cell-controller,,auto
,https://github.com/dell-esg/powerflex-nova-charm,,auto
,https://github.com/canonical/oauth2-proxy-k8s-operator,,manual
,https://opendev.org/openstack/charm-octavia-dashboard,,auto
,https://opendev.org/openstack/charm-octavia-diskimage-retrofit,,auto
,https://opendev.org/openstack/charm-odl-controller,,auto
,https://github.com/canonical/openstack-exporter-operator,,manual
,https://opendev.org/openstack/charm-openvswitch-odl,,auto
,https://opendev.org/openstack/charm-pacemaker-remote,,auto
,https://github.com/canonical/parca-agent-operator,,manual
,https://github.com/canonical/parca-k8s-operator,,manual
,https://github.com/canonical/parca-scrape-target-operator,,manual
,https://opendev.org/openstack/charm-percona-cluster,,auto
,https://opendev.org/openstack/charm-placement,,auto
,https://opendev.org/openstack/charm-rabbitmq-server,,auto
,https://github.com/canonical/s3-integrator,,manual
,https://github.com/canonical/spark-integration-hub-k8s-operator,,manual
,https://git.launchpad.net/squid-reverseproxy-charm,,auto
,https://opendev.org/openstack/charm-swift-proxy,,auto
,https://opendev.org/openstack/charm-swift-storage,,auto
,https://github.com/canonical/tempo-operators,,auto
,https://github.com/battlemidget/juju-charm-znc,,auto
,https://github.com/canonical/bundle-kubeflow,,auto
,https://git.launchpad.net/charm-easyrsa,,auto
,https://git.launchpad.net/charm-kubernetes-worker,,auto
,https://github.com/charmed-kubernetes/charm-coredns/,,auto
,https://github.com/canonical/mysql-operators,,auto
,https://github.com/canonical/opentelemetry-collector-operator,,auto
,https://github.com/canonical/opentelemetry-collector-k8s-operator,,auto
containers,https://git.launchpad.net/charm-aws-k8s-storage,,auto-discover
containers,https://git.launchpad.net/charm-gcp-k8s-storage,,auto-discover
containers,https://git.launchpad.net/keystone-k8s-auth-operator,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-aodh,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-barbican,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-barbican-vault,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-ceilometer,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-ceilometer-agent,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder-backup,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder-backup-swift-proxy,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder-ceph,,auto-discover
